"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"ShippingCostPerOrder";"ShippingProfile";"SurchargeForShippingAbroad";"Value_of_unsellable_returns";"VAT";"VAT_DE_2020";"VAT_CATEGORY";"Hide";"Marketplace"
"B0FNKQ2683";"1CDC-57ZH-WLI8";"Salutem Vita – Gluten-Free Frozen Thick Cut Steak Fries, Gift Set, 28 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0CNS7NRHM";"1CDC-57ZW-CJOA";"Salutem Vita - Styrofoam Cooler, Ice Chest (47qt), Inside: 21 x 13 x 11 (inches) Outside: 24 x 16 x 13 (inches)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWL998W";"1CDC-57ZH-YUND";"Salutem Vita – Homestyle Butter Tastin' Biscuits, Gift Set – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKQ74WR";"1CDC-57Z9-GSBK";"Salutem Vita – Gluten-Free Shredded Hash Brown Potatoes, Gift Set, 30 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0F4V2JYHF";"1CDC-5815-UTTV";"Salutem Vita – Original Premium Pork Sausage, Hot Sausage Roll, Country Mild Sausage Roll, Maple Pork Sausage Roll, Sage Breakfast Sausage Roll, Italian Pork Sausage Roll, Gift Set 1,0 lbs – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKRQ789";"1CDC-581C-ILKK";"Salutem Vita – Gluten-Free Seasoned Shredded Potatoes Tater Tots, Gift Set, 32 oz – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0CJT5B33Y";"1CDC-57Z1-X22Y";"Salutem Vita - 22qt Styrofoam Cooler | Large Lightweight Insulated Ice Chest for Food, Drinks & Medical Transport | Inside: 12.5 x 10.5 x 10.75 inches, Outside: 14.5 x 12.5 x 12.75 inches.";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKT1NF6";"1CDC-57ZO-UENZ";"Salutem Vita – Shrimp Poppers with Oven Crispy Breading, Frozen Seafood Appetizer, Gift Set, 20 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWNZL2L";"1CDC-580J-S99W";"Salutem Vita – Chocolate Fudge Brownie Mix, Rich Dessert Baking, 16 oz, Gift Set – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWN9GSZ";"1CDC-57ZH-Y0ZH";"Salutem Vita – Southern Homestyle Buttermilk Biscuits, Gift Set: – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWPRKRH";"1CDC-57ZW-C0WQ";"Salutem Vita – Chimichangas Deluxe Set, Crispy Mexican Favorites with a Kick, 32 oz, 8 count (Frozen), Gift Set – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKQDS5G";"1CDC-580A-O2QE";"Salutem Vita – Crispy Breaded Butterfly Shrimp, Easy-to-Bake Frozen Seafood, Gift Set, 18 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0F5QSYW4B";"1CDC-580S-8CVR";"Salutem Vita – Tender Chicken & Vegetable Dog Food Rolls, Ready-to-Serve Chilled Meal, Gift Set: 1 lb - Pack of 6 (Total 6 lb)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWNCJQ7";"1CDC-580S-8PGN";"Salutem Vita – Moist Supreme White, Yellow, Devil's Food, and Strawberry Cake Mix, 16 oz, Gift Set – Pack of 8";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWNF7SR";"1CDC-580A-PTPM";"Salutem Vita – Caramel Mini Cinnis Pull-Apart Rolls, Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWP57BP";"1CDC-580J-S19U";"Salutem Vita – Cinnamon Rolls with Icing, Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0F1W5N36V";"1CDC-580S-8YSO";"Salutem Vita – Chunky Beef Dog Food Roll with Vegetables & Brown Rice, Chilled Meal, Gift Set: 1.5 lb - Pack of 4 (Total 6 lb)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWNYHBM";"1CDC-57Z9-GE9B";"Salutem Vita – Chocolate Fudge Brownie Mix, Rich Dessert Baking, 16 oz, Gift Set – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWN2GJJ";"1CDC-580A-PTLT";"Salutem Vita – Caramel and Cinnamon Mini Pull-Apart Rolls Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0F4TRY74R";"1CDC-5815-TN8R";"Salutem Vita – Meat Lovers Breakfast Burritos, Sausage Breakfast Burritos, Gift Set 1,1 lbs – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWPBQSR";"1CDC-580S-9ZWM";"Salutem Vita – Southern Homestyle Buttermilk Biscuits, Gift Set: – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FC2VKBLB";"1CDC-57Z9-FYEQ";"Salutem Vita – Spicy Korean Style BBQ Pasta Cup, 2.6 oz, Gift Set – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0CJTF6HC2";"VU-69JA-OVEL";"Salutem Vita - 12qt Styrofoam Cooler – Inside: 10 x 8 x 9, Outside: 12 x 10 x 11. Lightweight Insulated Ice Chest for Food, Drinks, and Medical Transport | Cold Storage for Frozen Shipping";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWMTCWF";"1CDC-57Z9-GCGA";"Salutem Vita – Moist Supreme White Cake Mix, Baking Essentials, 16 oz, Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B09R1BSJHT";"1CDC-57ZO-U18V";"Salutem Vita Advanced Detox Cleanse, Natural Detox & Cleanse with Milk Thistle, Licorice Powder, and More, Body Cleanse Detox for Women and Men, 84 Capsules, 2 Pack";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FNKQZNCJ";"1CDC-5803-SZKR";"Salutem Vita – Jumbo Coconut Shrimp with Orange Marmalade Sauce, Frozen Seafood Gift Set, 16 oz – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0F24SC6SL";"1CDC-580J-SCCU";"Salutem Vita Premium Chilled Dog Food Gift Set – Tender Chicken with Carrots & Spinach, 5.5 lb Bag";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FG1TYTWD";"1CDC-581C-IE4O";"Salutem Vita – Dog Joy Turkey Bacon Recipe Soft Dog Treats 3oz, Gift Set – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWPM1GP";"1CDC-57ZW-C82W";"Salutem Vita – Gluten-Free Funfetti Cake Mix with Candy Bits, 16 oz, Gift Set – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FNKS6RWL";"1CDC-580S-AFGW";"Salutem Vita – Clam Strips in Delicious Oven Crunchy Breading, Gift Set, 10 oz – Pack of 5";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FLWPJ4W1";"1CDC-57Z9-F1EO";"Salutem Vita – Moist Supreme Yellow Cake Mix, Baking Essentials, 16 oz, Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWN3BYJ";"1CDC-57ZH-YAJC";"Salutem Vita – Flaky Layers Biscuits, Buttery Taste, Easy Bake, Gift Set – Pack of 3";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FG1V5LT5";"1CDC-580S-8Y5K";"Salutem Vita – Small Dog Chicken Turkey Roll Natural Dog Food, 16 oz, Gift Set – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
