upc,state,source_order,check_digit_valid,assigned_sku,marketplace_status,last_updated
756441906974,available,ancien 2024-10-21,true,,,
756441906981,available,ancien 2024-10-21,true,,,
756441906998,available,ancien 2024-10-21,true,,,
756441907001,available,ancien 2024-10-21,true,,,
756441907018,available,ancien 2024-10-21,true,,,
756441907025,available,ancien 2024-10-21,true,,,
756441907032,available,ancien 2024-10-21,true,,,
756441907049,available,ancien 2024-10-21,true,,,
756441907056,available,ancien 2024-10-21,true,,,
756441907063,available,ancien 2024-10-21,true,,,
756441907070,available,ancien 2024-10-21,true,,,
756441907087,available,ancien 2024-10-21,true,,,
756441907094,available,ancien 2024-10-21,true,,,
756441907100,available,ancien 2024-10-21,true,,,
756441907117,available,ancien 2024-10-21,true,,,
756441907124,available,ancien 2024-10-21,true,,,
756441907131,available,ancien 2024-10-21,true,,,
756441907148,available,ancien 2024-10-21,true,,,
756441907155,available,ancien 2024-10-21,true,,,
756441907162,available,ancien 2024-10-21,true,,,
756441907179,available,ancien 2024-10-21,true,,,
756441907186,available,ancien 2024-10-21,true,,,
756441907193,available,ancien 2024-10-21,true,,,
756441907209,available,ancien 2024-10-21,true,,,
756441907216,available,ancien 2024-10-21,true,,,
756441907223,available,ancien 2024-10-21,true,,,
756441907230,available,ancien 2024-10-21,true,,,
756441907247,available,ancien 2024-10-21,true,,,
756441907254,available,ancien 2024-10-21,true,,,
756441907261,available,ancien 2024-10-21,true,,,
756441907278,available,ancien 2024-10-21,true,,,
756441907285,available,ancien 2024-10-21,true,,,
756441907292,available,ancien 2024-10-21,true,,,
756441907308,available,ancien 2024-10-21,true,,,
756441907315,available,ancien 2024-10-21,true,,,
756441907322,available,ancien 2024-10-21,true,,,
756441907339,available,ancien 2024-10-21,true,,,
756441907346,available,ancien 2024-10-21,true,,,
756441907353,available,ancien 2024-10-21,true,,,
756441907360,available,ancien 2024-10-21,true,,,
756441907377,available,ancien 2024-10-21,true,,,
756441907384,available,ancien 2024-10-21,true,,,
756441907391,available,ancien 2024-10-21,true,,,
756441907407,available,ancien 2024-10-21,true,,,
756441907414,available,ancien 2024-10-21,true,,,
756441907421,available,ancien 2024-10-21,true,,,
756441907438,available,ancien 2024-10-21,true,,,
756441907445,available,ancien 2024-10-21,true,,,
756441907452,available,ancien 2024-10-21,true,,,
756441907469,available,ancien 2024-10-21,true,,,
756441907476,available,ancien 2024-10-21,true,,,
756441907483,available,ancien 2024-10-21,true,,,
756441907490,available,ancien 2024-10-21,true,,,
756441907506,available,ancien 2024-10-21,true,,,
756441907513,available,ancien 2024-10-21,true,,,
756441907520,available,ancien 2024-10-21,true,,,
756441907537,available,ancien 2024-10-21,true,,,
756441907544,available,ancien 2024-10-21,true,,,
756441907551,available,ancien 2024-10-21,true,,,
756441907568,available,ancien 2024-10-21,true,,,
756441907575,available,ancien 2024-10-21,true,,,
756441907582,available,ancien 2024-10-21,true,,,
756441907599,available,ancien 2024-10-21,true,,,
756441907605,available,ancien 2024-10-21,true,,,
756441907612,available,ancien 2024-10-21,true,,,
756441907629,available,ancien 2024-10-21,true,,,
756441907636,available,ancien 2024-10-21,true,,,
756441907643,available,ancien 2024-10-21,true,,,
756441907650,available,ancien 2024-10-21,true,,,
756441907667,available,ancien 2024-10-21,true,,,
756441907674,available,ancien 2024-10-21,true,,,
756441907681,available,ancien 2024-10-21,true,,,
756441907698,available,ancien 2024-10-21,true,,,
756441907704,available,ancien 2024-10-21,true,,,
756441907711,available,ancien 2024-10-21,true,,,
756441907728,available,ancien 2024-10-21,true,,,
756441907735,available,ancien 2024-10-21,true,,,
756441907742,available,ancien 2024-10-21,true,,,
756441907759,available,ancien 2024-10-21,true,,,
756441907766,available,ancien 2024-10-21,true,,,
756441907773,available,ancien 2024-10-21,true,,,
756441907780,available,ancien 2024-10-21,true,,,
756441907797,available,ancien 2024-10-21,true,,,
756441907803,available,ancien 2024-10-21,true,,,
756441907810,available,ancien 2024-10-21,true,,,
756441907827,available,ancien 2024-10-21,true,,,
756441907834,available,ancien 2024-10-21,true,,,
756441907841,available,ancien 2024-10-21,true,,,
756441907858,available,ancien 2024-10-21,true,,,
756441907865,available,ancien 2024-10-21,true,,,
756441907872,available,ancien 2024-10-21,true,,,
756441907889,available,ancien 2024-10-21,true,,,
756441907896,available,ancien 2024-10-21,true,,,
756441907902,available,ancien 2024-10-21,true,,,
756441907919,available,ancien 2024-10-21,true,,,
756441907926,available,ancien 2024-10-21,true,,,
756441907933,available,ancien 2024-10-21,true,,,
756441907940,available,ancien 2024-10-21,true,,,
756441907957,available,ancien 2024-10-21,true,,,
756441907964,available,ancien 2024-10-21,true,,,
756441907971,available,ancien 2024-10-21,true,,,
756441907988,available,ancien 2024-10-21,true,,,
756441907995,available,ancien 2024-10-21,true,,,
756441908008,available,ancien 2024-10-21,true,,,
756441908015,available,ancien 2024-10-21,true,,,
756441908022,available,ancien 2024-10-21,true,,,
756441908039,available,ancien 2024-10-21,true,,,
756441908046,available,ancien 2024-10-21,true,,,
756441908053,available,ancien 2024-10-21,true,,,
756441908060,available,ancien 2024-10-21,true,,,
756441908077,available,ancien 2024-10-21,true,,,
756441908084,available,ancien 2024-10-21,true,,,
756441908091,available,ancien 2024-10-21,true,,,
756441908107,available,ancien 2024-10-21,true,,,
756441908114,available,ancien 2024-10-21,true,,,
756441908121,available,ancien 2024-10-21,true,,,
756441908138,available,ancien 2024-10-21,true,,,
756441908145,available,ancien 2024-10-21,true,,,
756441908152,available,ancien 2024-10-21,true,,,
756441908169,available,ancien 2024-10-21,true,,,
756441908176,available,ancien 2024-10-21,true,,,
756441908183,available,ancien 2024-10-21,true,,,
756441908190,available,ancien 2024-10-21,true,,,
756441908206,available,ancien 2024-10-21,true,,,
756441908213,available,ancien 2024-10-21,true,,,
756441908220,available,ancien 2024-10-21,true,,,
756441908237,available,ancien 2024-10-21,true,,,
756441908244,available,ancien 2024-10-21,true,,,
756441908251,available,ancien 2024-10-21,true,,,
756441908268,available,ancien 2024-10-21,true,,,
756441908275,available,ancien 2024-10-21,true,,,
756441908282,available,ancien 2024-10-21,true,,,
756441908299,available,ancien 2024-10-21,true,,,
756441908305,available,ancien 2024-10-21,true,,,
756441908312,available,ancien 2024-10-21,true,,,
756441908329,available,ancien 2024-10-21,true,,,
756441908336,available,ancien 2024-10-21,true,,,
756441908343,available,ancien 2024-10-21,true,,,
756441908350,available,ancien 2024-10-21,true,,,
756441908367,available,ancien 2024-10-21,true,,,
756441908374,available,ancien 2024-10-21,true,,,
756441908381,available,ancien 2024-10-21,true,,,
756441908398,available,ancien 2024-10-21,true,,,
756441908404,available,ancien 2024-10-21,true,,,
756441908411,available,ancien 2024-10-21,true,,,
756441908428,available,ancien 2024-10-21,true,,,
756441908435,available,ancien 2024-10-21,true,,,
756441908442,available,ancien 2024-10-21,true,,,
756441908459,available,ancien 2024-10-21,true,,,
756441908466,available,ancien 2024-10-21,true,,,
756441908473,available,ancien 2024-10-21,true,,,
756441908480,available,ancien 2024-10-21,true,,,
756441908497,available,ancien 2024-10-21,true,,,
756441908503,available,ancien 2024-10-21,true,,,
756441908510,available,ancien 2024-10-21,true,,,
756441908527,available,ancien 2024-10-21,true,,,
756441908534,available,ancien 2024-10-21,true,,,
756441908541,available,ancien 2024-10-21,true,,,
756441908558,available,ancien 2024-10-21,true,,,
756441908565,available,ancien 2024-10-21,true,,,
756441908572,available,ancien 2024-10-21,true,,,
756441908589,available,ancien 2024-10-21,true,,,
756441908596,available,ancien 2024-10-21,true,,,
756441908602,available,ancien 2024-10-21,true,,,
756441908619,available,ancien 2024-10-21,true,,,
756441908626,available,ancien 2024-10-21,true,,,
756441908633,available,ancien 2024-10-21,true,,,
756441908640,available,ancien 2024-10-21,true,,,
756441908657,available,ancien 2024-10-21,true,,,
756441908664,available,ancien 2024-10-21,true,,,
756441908671,available,ancien 2024-10-21,true,,,
756441908688,available,ancien 2024-10-21,true,,,
756441908695,available,ancien 2024-10-21,true,,,
756441908701,available,ancien 2024-10-21,true,,,
756441908718,available,ancien 2024-10-21,true,,,
