ordinal,sku,asin,gate_status,readback_status,observed_at,secondary_total,fixed_card_occurrences,additional_total,additional_relevant,exact_recipe_images,shared_context_images,recipe_components_covered,recipe_components_required,blockers,primary_evidence_path,primary_evidence_sha256,row_evidence_sha256
114,SS-AS9K-U9TV,B0H831889Q,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,856ef24a9973b37b43de862ca676264d17375c2865f842c0d7e38d73ce5a315d
115,SU-ASS4-RV6R,B0H853HGHC,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:WHOLE_WHEAT_PB_GRAPE;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,7e7a80c782be26986855e49fdbca586e517a507bc97e2ec06f4ef571ba4d646a
116,SV-AS87-D6SV,B0H83ZGN22,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:PB_STRAWBERRY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,89f9569711868a15e8795c5fc8c1d5d86b4e52df3555c81945eb3ce5f47e80bf
117,SZ-ASPI-JFAT,B0H776M5B5,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,1,1,0,0,0,0,0,1,GALLERY_REPAIR_NOT_APPLIED;SECONDARY_COUNT_OUT_OF_RANGE;MISSING_RECIPE_COMPONENT:PB_BLACKBERRY;PRODUCT_OR_CONTEXT_COUNT_OUT_OF_RANGE;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,4ef0caa297667806665db38df06637047f92fe8ea2a73b9d8e07a1ec3deeb33c
118,TH-AS6D-CCES,B0H845HSDZ,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:CHOCOLATE_HAZELNUT;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,9c2f4b25c8d5d8e91db765f001c84ffae1fc662c39674d236c78f90a13ec3495
119,TL-ASHN-ZRKG,B0H85P9F3R,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,5,0,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,c858853e0aa6faace35de76506a13d518305608f3638f2f677d53cf95f2c1773
120,TP-AS91-8PAZ,B0H835T5HN,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,6,0,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,c76352174c32868d599e1947990202b23bdb9a41c83040424b3e56d2fe807a2b
121,TQ-ASBR-96TC,B0H82BCZ44,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,6,0,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,04785c0b526068c00946fd9420c09d5ee32634072f1be0a4bfd920a2feb3a0a8
122,TQ-ASC4-P2NP,B0H839G6RQ,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,6,0,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,96e277867d24fc715e553ee8ce48945d9753283798413cd138bf5dfd3df4319f
123,TY-AST2-JE9P,B0H84WQRXB,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,15c58cf901650d030728e9197e34e7dd7978faea3466000c8fcc19abad69289c
