GEN_OK ready 8 · publishing 8 (skip already applied/qarth)

[WALMART][STORE1] token issued, expires at 2026-07-12T19:32:34.691Z
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 357ms, cid=0ce91b5e-c894-485c-af25-031e52f4ac6c)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 329ms, cid=a0391aa7-1a15-4374-afdf-0b40743cb6a0)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 422ms, cid=23b5e9eb-92f2-4ef4-a696-71cc2ec8e9a7)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 280ms, cid=5d505be9-c7f9-40f5-8eb9-317c947e2916)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 245ms, cid=75117d37-a21a-4983-be27-e29e3630f260)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 331ms, cid=7d017eed-9f4e-4a66-a031-73128704427e)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 239ms, cid=4131b1a9-f6fc-4dd0-922f-eb138a50cfdb)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 356ms, cid=a4f1ff9c-8ca3-41a6-b27c-41d3bb252836)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 306ms, cid=4a6cd41f-3199-442a-b0d8-44d9d539b757)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 402ms, cid=949fb8eb-aa73-42e5-8758-53f6a00f1ade)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 233ms, cid=c4cc6e5f-fb49-48f7-89a9-eac4be04b050)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 254ms, cid=069e834f-bf01-4881-a412-d6c2e622593f)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 381ms, cid=87c25c97-8543-4ec8-b857-3872c92bc1cd)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 666ms, cid=f4f2eafa-079b-4ed1-a3c0-c13881931553)
[WALMART][STORE1] token issued, expires at 2026-07-12T19:45:47.895Z
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 380ms, cid=f09345f8-395f-460b-8278-e47369b1545a)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 248ms, cid=897a9fd7-0978-4916-98e6-53ac04dbc39e)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 400ms, cid=49402633-c974-4658-82ab-f8ae0c4a312b)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 279ms, cid=8f5508ab-e271-4337-a69b-b649523d9f87)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 362ms, cid=62b69bab-c5db-4d03-862e-5ad56e54e0af)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 363ms, cid=5837fef7-ecb8-43e2-9c59-c96dde0e2d2a)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 385ms, cid=d6ec9b60-a8f7-4c44-a5f7-13d7cd917646)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 446ms, cid=7f34d00a-93be-4918-9986-9965807d3c97)
[WALMART][STORE1] GET /v3/feeds/18C1A0F9D831554982B84EE6D702F125%40AX8BBgA?includeDetails=true → 200 (tokens: 832, 412ms, cid=9d5d8813-d0ec-4d16-a8ea-b022cf3e8f10)
  batch 1/1: INPROGRESS at budget — marked submitted

=== PUBLISH_GEN cumulative === applied 1208 · qarth 69 · failed 0 · submitted 8 · post_failed 0 · build_skip 2
