ordinal,sku,asin,disposition,recipe_keys,expected_total_units,current_other_slots,current_additional_after_card,approved_card_slots,hard_violation_codes,hold_reason_codes,relaxed_exceptions_applied,explicit_wrong_product_or_claim,source_row_evidence_sha256,row_evidence_sha256
36,FM-AS51-S4MT,B0H853VHRF,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|PB_CHOCOLATE_FLAVORED_SPREAD,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,06080cd122bcfdc32c694ed9a88f5b09d2b139e5f62b5dfd6583388666eec26d,5f2582e38bc2cfa5641c00da2cdd88416171ea28971625eb0b1e815a4ce6f6ee
37,FN-ASVM-UWAG,B0H85J88LJ,KEEP,PB_PLAIN|WHOLE_WHEAT_PB_GRAPE,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,1b6b0375358660ed9f34828831215efe76bb306122574422b4fcf0f7c0315eab,853bf76ae1e205f7adac817d3acdb09fa2f0689c4583f7b86df8891f7753a446
38,FR-AS6X-5KJY,B0H827V9DJ,KEEP,CHOCOLATE_HAZELNUT,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,ab1a87f825edc8c27f4aa6b17470da68430d9717297adaf9b9daadb525196bc5,d5bf43561a2d1d2477657d46d08e86da54e813a7837e39ab12b2b8e6fbf28219
39,FV-AS47-EJZW,B0H82SZSYJ,KEEP,WHOLE_WHEAT_PB_GRAPE,45,7,6,1,,,,false,abf50c6196b291f6c90829c408e7a77e26b5ae5c43c32a107136fe6a662581ff,ccd1c6440f9770196dfa6f1ef01a2aaa5d5842505e56bd306b9e2b3750ecbb41
40,FX-AS2W-KHZT,B0H827J2XZ,KEEP,PB_STRAWBERRY_PROTEIN,24,7,6,1,,,,false,909c04e3418728b3d86bb88171e05ce6e6271654967a793a22d023ad8c5b8916,1e5604b9f68acafbd9ab0603f472cafcf7f5f64f6ce03cf836fd740ade9329d3
41,GG-ASNC-C9WA,B0H8219Z7T,KEEP,CHOCOLATE_HAZELNUT,30,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,de95a24b17220a675f452d685c94175f1f618ea9adadf2cfaa9568042df263ef,91bf6f4a0758a7137860a6f97e0cc4c4ecbd0b6655fb68fb8b0427753836fe56
42,GR-AS0R-YPCF,B0H82GJ292,KEEP,PB_PLAIN,30,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,f55ca2e0cd557da949071ce8744977c7735cdc88ce55b8e6f56bdd85f96b7a99,848c69473e4ae6d0447dd99903467ebf8f18c3b0a3d4800e498b8c2be01912cc
43,GR-AS1P-DBB2,B0H82S7TFG,KEEP,PB_GRAPE,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,09f146265327204a1a99de08b151f82caa5e4d59b6c36134128031b9d7fae18b,cca87af5a870c07d57cdcfce50ac3d995a807d5803d19683a5dcc011ea80a354
44,GU-ASQ1-S7M6,B0H828GQLP,KEEP,PB_RASPBERRY,30,7,6,1,,,,false,880f8deb611582a3be3dd7cbcdb3e48960c813d139834b4dbe397181eff8ef27,85be1b2b780e40a6d274ad1fd39d6ec53bdaf9fa2afec1a81cd1b3ff2798ca01
45,GX-ASTJ-WHV3,B0H83XV9WX,KEEP,PB_STRAWBERRY_PROTEIN|PB_APPLE_CINNAMON_PROTEIN,24,7,6,1,,,,false,45a93ff5df0d9717d057b5a26ca1f5befd15f93d16905a8b17757c652c52b3e2,7e243a940ad69715e1b1d99cbf10ad0e349bd3fc5dd46530e14e77532fc910a3
