ordinal,listing_key,sku,asin,tier_count,identity_status,identity_reason_codes,target_regular_base,target_minimum,target_maximum,target_b2b,amazon_regular_base,regular_status,amazon_minimum,minimum_status,amazon_maximum,maximum_status,amazon_b2b,b2b_status,amazon_live_b2c,amazon_list_price,discounted_price_present,discounted_price_active,discounted_price_value,discounted_price_start_at,discounted_price_end_at,promo_arm,promo_lever,promo_discount_percent,promo_owner_approval_status,coupon_live_application_evidence,patch_disposition,patch_mismatch_fields,preserve_discounted_price_exactly,expected_listing_effective_after_patch,live_b2c_vs_expected_after_patch,channelmax_status,amazon_issue_codes
22,amazon:1:CN-ASG6-892G,CN-ASG6-892G,B0H8422DQ1,120,EXACT_SCOPE_MATCH,,297.99,258.57,297.99,297.99,304.2,MISMATCH,258.57,MATCH,297.99,MATCH,281.56,MISMATCH,284.4,313.95,true,true,259.25,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,259.25,MISMATCH,CANONICAL_CONFIRMED,19038
23,amazon:1:DA-ASF0-D7RG,DA-ASF0-D7RG,B0H83VBTLT,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,258.32,MISMATCH,219.57,MATCH,252.99,MATCH,219.57,MISMATCH,221.27,244.26,true,true,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,220.1,MISMATCH,CANONICAL_CONFIRMED,19038
24,amazon:1:DF-ASQT-BLUQ,DF-ASQT-BLUQ,B0H83FKSN6,45,EXACT_SCOPE_MATCH,,130.99,114.27,130.99,130.99,134.44,MISMATCH,114.27,MATCH,130.99,MATCH,114.27,MISMATCH,114.59,126.5,true,true,114.27,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_12,12,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,114.27,MISMATCH,CANONICAL_CONFIRMED,19038
25,amazon:1:DP-ASQ6-ZPZU,DP-ASQ6-ZPZU,B0H83Y8JH7,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,68.29,MISMATCH,79.08,MISMATCH,76.22,MISMATCH,76.99,76.99,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|minimum|maximum|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,
26,amazon:1:DY-AS8W-6MJG,DY-AS8W-6MJG,B0H82MKPRJ,45,EXACT_SCOPE_MATCH,,130.99,114.27,130.99,130.99,145.54,MISMATCH,114.27,MATCH,130.99,MATCH,129.68,MISMATCH,145.54,160.66,false,false,,,,A,COUPON_12,12,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,130.99,MISMATCH,CANONICAL_CONFIRMED,19038
27,amazon:1:EF-AS4A-JCLU,EF-AS4A-JCLU,B0H83XB855,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,71.14,MISMATCH,67.81,MISMATCH,78.53,MISMATCH,70.43,MISMATCH,71.14,78.53,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|minimum|maximum|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,18155|18639
28,amazon:1:EJ-ASCD-8K87,EJ-ASCD-8K87,B0H82PXWKS,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,258.32,MISMATCH,219.57,MATCH,252.99,MATCH,220.91,MISMATCH,223.14,246.33,true,true,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,220.1,MISMATCH,CANONICAL_CONFIRMED,19038
29,amazon:1:ER-ASRK-TPYQ,ER-ASRK-TPYQ,B0H84JH1WN,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,80.46,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
30,amazon:1:ES-AS8A-3W3M,ES-AS8A-3W3M,B0H83D8TFQ,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,87.94,MISMATCH,74.75,MATCH,85.99,MATCH,85.13,MISMATCH,85.99,84.87,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,85.99,MATCH,CANONICAL_CONFIRMED,19038
31,amazon:1:EW-ASJ9-E79N,EW-ASJ9-E79N,B0H82MT74H,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,87.94,MISMATCH,74.75,MATCH,85.99,MATCH,76.11,MISMATCH,76.88,84.87,true,true,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,74.81,MISMATCH,CANONICAL_CONFIRMED,19038
