ASIN,SKU,count,arm,base_item_price,effective_price,lever
B0H87748WJ,RS-AS47-M3K3,24,B,76.99,66.98,SALEPRICE_13
B0H8219Z7T,GG-ASNC-C9WA,30,B,85.99,74.81,SALEPRICE_13
B0H822TJ7C,JS-AS5F-QB8T,30,B,85.99,74.81,SALEPRICE_13
B0H82GJ292,GR-AS0R-YPCF,30,B,85.99,74.81,SALEPRICE_13
B0H82L3LRT,ZX-AS2C-GT8Q,30,B,85.99,74.81,SALEPRICE_13
B0H82LMD9Z,ZH-AS8W-G5MN,30,B,85.99,74.81,SALEPRICE_13
B0H82MT74H,EW-ASJ9-E79N,30,B,85.99,74.81,SALEPRICE_13
B0H82YMT6K,HU-ASMI-DN3X,30,B,85.99,74.81,SALEPRICE_13
B0H835T5HN,TP-AS91-8PAZ,30,B,85.99,74.81,SALEPRICE_13
B0H837HLKC,MP-ASZ9-TKE7,30,B,85.99,74.81,SALEPRICE_13
B0H891WSZ9,EW-ASWP-PMZX,30,B,85.99,74.81,SALEPRICE_13
B0H81WMJBP,XE-ASK1-BNRB,45,B,130.99,115.27,SALEPRICE_12
B0H82LKBYH,ZB-ASKL-9W8G,45,B,130.99,115.27,SALEPRICE_12
B0H82MSTD9,XJ-ASVD-CDMW,45,B,130.99,115.27,SALEPRICE_12
B0H82QYM85,VC-ASQE-L5Z5,45,B,130.99,115.27,SALEPRICE_12
B0H82SZSYJ,FV-AS47-EJZW,45,B,130.99,115.27,SALEPRICE_12
B0H82YRTS3,XV-ASEU-GDUX,45,B,130.99,115.27,SALEPRICE_12
B0H831MXGD,JL-ASUC-JUZE,45,B,130.99,115.27,SALEPRICE_12
B0H8361PYX,RR-ASG1-JVKV,45,B,130.99,115.27,SALEPRICE_12
B0H83FKSN6,DF-ASQT-BLUQ,45,B,130.99,115.27,SALEPRICE_12
B0H82PXWKS,EJ-ASCD-8K87,90,B,252.99,220.10,SALEPRICE_13
B0H82XBNVN,WK-AS2R-FJUW,90,B,252.99,220.10,SALEPRICE_13
B0H834L7P6,UD-AS9J-QNY6,90,B,252.99,220.10,SALEPRICE_13
B0H83B6TYP,QX-ASS6-4T4F,90,B,252.99,220.10,SALEPRICE_13
B0H83FYZR3,KP-ASYC-RN84,90,B,252.99,220.10,SALEPRICE_13
