SKU	ASIN	SellingVenue	MinSellingPrice	MaxSellingPrice	PurchaseCost	RepricingModelID
714671746128	B0G2N2ZKNB	AmazonUS	118.17	136.35	90.90	59021
714671746135	B0G2N48HC3	AmazonUS	160.03	184.65	123.10	59021
714671746142	B0G2N5HB2X	AmazonUS	237.77	274.35	182.90	59021
714671746159	B0G2N7814L	AmazonUS	66.95	77.25	51.50	59021
714671746166	B0G2N4S1GN	AmazonUS	118.17	136.35	90.90	59021
714671746173	B0G2N4XVCS	AmazonUS	160.03	184.65	123.10	59021
714671746180	B0G2N6PWX5	AmazonUS	237.77	274.35	182.90	59021
714671746197	B0G2N59GDL	AmazonUS	66.95	77.25	51.50	59021
714671746203	B0G2N77FSF	AmazonUS	118.17	136.35	90.90	59021
714671746210	B0G2N4V4J1	AmazonUS	160.03	184.65	123.10	59021
714671746227	B0G2N6SW89	AmazonUS	237.77	274.35	182.90	59021
714671746234	B0G2N4RN9D	AmazonUS	66.95	77.25	51.50	59021
714671746241	B0G2N6YCTT	AmazonUS	118.17	136.35	90.90	59021
714671746258	B0G2N596PT	AmazonUS	160.03	184.65	123.10	59021
714671746265	B0G2N4T7BL	AmazonUS	237.77	274.35	182.90	59021
714671746272	B0G2NRWMG7	AmazonUS	66.95	77.25	51.50	59021
714671746289	B0G2N4KBZ8	AmazonUS	118.17	136.35	90.90	59021
714671746296	B0G2N57L2V	AmazonUS	160.03	184.65	123.10	59021
714671746302	B0G2N4TPWC	AmazonUS	237.77	274.35	182.90	59021
714671746319	B0G2N5LW8C	AmazonUS	66.95	77.25	51.50	59021
714671746326	B0G2N4NW3L	AmazonUS	118.17	136.35	90.90	59021
714671746333	B0G2N4H3SV	AmazonUS	160.03	184.65	123.10	59021
714671746340	B0G2N4QRMY	AmazonUS	237.77	274.35	182.90	59021
714671746357	B0G2N59N2G	AmazonUS	66.95	77.25	51.50	59021
714671746364	B0G2N4FTBB	AmazonUS	118.17	136.35	90.90	59021
714671746371	B0G2N59L4Z	AmazonUS	160.03	184.65	123.10	59021
714671746388	B0G2N4ZBCD	AmazonUS	237.77	274.35	182.90	59021
714671746395	B0G2N5GZMV	AmazonUS	66.95	77.25	51.50	59021
714671746401	B0G2N55QDJ	AmazonUS	118.17	136.35	90.90	59021
714671746418	B0G2N3VWHC	AmazonUS	160.03	184.65	123.10	59021
714671746425	B0G2N1PBCP	AmazonUS	237.77	274.35	182.90	59021
714671746432	B0G2N2WP8C	AmazonUS	66.95	77.25	51.50	59021
714671746449	B0G2N4CS9Q	AmazonUS	118.17	136.35	90.90	59021
714671746456	B0G2N93PZC	AmazonUS	160.03	184.65	123.10	59021
714671746463	B0G2N4V9FL	AmazonUS	237.77	274.35	182.90	59021
714671746470	B0G2N521R8	AmazonUS	66.95	77.25	51.50	59021
714671746487	B0G2N6R6YL	AmazonUS	118.17	136.35	90.90	59021
714671746494	B0G2N4HHB9	AmazonUS	160.03	184.65	123.10	59021
714671746500	B0G2N24WT4	AmazonUS	237.77	274.35	182.90	59021
714671746517	B0G2N4KTYD	AmazonUS	66.95	77.25	51.50	59021
714671746524	B0G2N2YZLV	AmazonUS	118.17	136.35	90.90	59021
714671746531	B0G2N77SRF	AmazonUS	160.03	184.65	123.10	59021
714671746548	B0G2N5GBBC	AmazonUS	237.77	274.35	182.90	59021
714671746555	B0G2N53GD2	AmazonUS	66.95	77.25	51.50	59021
714671746562	B0G2N71NCH	AmazonUS	118.17	136.35	90.90	59021
714671746579	B0G2N6Q7JB	AmazonUS	160.03	184.65	123.10	59021
714671746586	B0G2N6ZCT4	AmazonUS	237.77	274.35	182.90	59021
714671746593	B0G2N4WZJQ	AmazonUS	66.95	77.25	51.50	59021
714671746609	B0G2N4BL8F	AmazonUS	118.17	136.35	90.90	59021
714671746616	B0G2N4SFL9	AmazonUS	160.03	184.65	123.10	59021
714671746623	B0G2N2S7BT	AmazonUS	237.77	274.35	182.90	59021
743269735886	B0FL2V6M92	AmazonUS	72.15	89.64	55.50	59021
743269735893	B0FL2SMLW3	AmazonUS	118.17	140.56	90.90	59021
743269735909	B0FL2W56DB	AmazonUS	160.03	189.11	123.10	59021
743269735916	B0FL2TY6PS	AmazonUS	242.97	293.30	186.90	59021
743269735923	B0FL2VR4DY	AmazonUS	72.15	83.25	55.50	59021
