store,sku,asin,total,cooler,landed,current_item_price,target_item_price,delta_pct,status,fulfillment,title
store1,714671746265,B0G2N4T7BL,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746302,B0G2N4TPWC,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746340,B0G2N4QRMY,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746388,B0G2N4ZBCD,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter Chocolate Hazelnut and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746425,B0G2N1PBCP,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Uncrustables Peanut Butter & Honey Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746463,B0G2N4V9FL,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey Spread and Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746500,B0G2N24WT4,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746548,B0G2N5GBBC,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Chocolate Hazelnut & Peanut Butter Strawberry Jam Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746586,B0G2N6ZCT4,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Uncrustables Chocolate Hazelnut & Peanut Butter Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746623,B0G2N2S7BT,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,743269735930,B0FL2TNJWL,48,M,90.90,140.56,136.35,3,Active,DEFAULT,"Salutem Vita – Uncrustables Frozen Peanut Butter and Grape Jelly Sandwiches, Gift Set, 4 count – Pack of 12 (total 48 pieces)"
store1,743269735978,B0FL2X2G7S,48,M,90.90,140.56,136.35,3,Active,DEFAULT,"Salutem Vita – Uncrustables Frozen Peanut Butter & Mixed Berry Spread Sandwich, Chocolate Hazelnut Spread Sandwich, Gift Set, 4 count – Pack of 12, 3 of Each flavor (total 48 pieces)"
