ordinal,sku,asin,status,other_slot_count,slot_indices,approved_card_slots,approved_card_exact_slot_1,additional_after_fixed_card,additional_count_4_to_6,relaxed_relevant_additional,obvious_irrelevant_additional,unknown_relevance_additional,slots_contiguous,exact_urls_unique,exact_asset_sha256_unique,known_true_visual_duplicate_count,local_binary_evidence_complete,fresh_secondary_binary_evidence_count,current_matches_sealed_after,remote_url_reachability_freshly_checked,needs_fix_reasons,unknown_reasons,listing_sha256,row_evidence_sha256
44,GU-ASQ1-S7M6,B0H828GQLP,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,2445661a873d861df622c320485700b53e9c9e275b191e29142d9217c4487612,880f8deb611582a3be3dd7cbcdb3e48960c813d139834b4dbe397181eff8ef27
45,GX-ASTJ-WHV3,B0H83XV9WX,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,1c14176a7e26ad89424feb7e01af53d9c5f0f423f868e4a0fc9bee9e1b7422d2,45a93ff5df0d9717d057b5a26ca1f5befd15f93d16905a8b17757c652c52b3e2
46,HA-ASCR-ME3A,B0H85V287S,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,2832166cce9ad57bb40d02d6fee87606cbd5289311747497fcec76e0809da741,ba699adda1314081fe894d7aa9c1fbaf50204b0942e4f5141e408f8ec576c458
47,HD-ASEQ-MFAY,B0H83QW85C,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,6980f557734ef2fc67d59378a02cc13429402bc063aadfece89cbd422c760179,879e4f5125bfcae54b27558c76391715ef6e6304d6bdf9abae2eaef56581b4be
48,HR-AS7Q-7ZDF,B0H856RRRK,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,e1f68f524171059ca7fe9afcf618ea32aeb77729493876ac551c09d9caec1b32,0e49da51d2da567c97b3c49b39d3c3da5149235e550e388bd3f6ab5caea186b7
49,HU-ASMI-DN3X,B0H82YMT6K,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,2147437f7311692a880f8a9026b241cb9d0f328cd37f7d356de4cd3392b60f85,37ec304f0b8e812c2f9d24a126f005c639c601b8cfe064a057e28da8c648fa30
50,HX-ASO8-XCL2,B0H832SD15,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,ba041785a6c23060f31f6df89f4b04956426c49314a10a29a2a3aef3c70147b9,4d0be4ccb914c2cbd0d573785ecf7dd4e7d1656c447fe9a3c32b54569aad5b79
51,HZ-ASPS-4L22,B0H857K38C,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,87d7d4fa85f0d52cd9e8bd242628620db88ace07a15110913f9ad0bde3558275,4391d8d83730a8d317fc0ed933f9b72180f8c1d3453e8f62eeb41a24010b6e96
52,JC-ASM4-XXW7,B0H84ZL156,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,7352b32e232e6addfe961c2ab072e10675033ae96871b66b9bfa02e791ef2a18,e38a9f680e56970cf703afe03aebd78d9f82a08d057d795afb0effa94a86c3fc
53,JH-ASV9-Z46X,B0H8369PMK,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,6c8e56422d8dd722a4571cfbd1fd7deeef25ea8de7c63344ad974b47e4b988ea,de00cca3d220306497c0e2693d8e07eb892f1d5377a77eb65db659439e16b305
54,JL-ASUC-JUZE,B0H831MXGD,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,cc0d25c29f55be1bb7e6ce13928279c64f6dcfc96551babcd5aa7b1fa898d26e,85682c388f0cd9404339aca7906eecea2486dd71ef85252635804a8c735a7504
55,JS-AS5F-QB8T,B0H822TJ7C,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,3a0e02797cfd7cefc47c136afedc49cf887ee2f30a0f881fe545bc06e51648d4,06c767a1fd20dfd6ee6f85bdfea3ae695d7b62048ae41b6cd626e9af9007f222
56,JT-ASKD-KS8T,B0H83Z6S3Q,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,9545707b7b162bb78860da918605e5dd8039777ee93407647240727091f910cc,91ba6a5b14ac927ad28dfe14d33bdf84c2bc6ff34ea3e4f431b093884a5f91ff
57,JU-ASM0-KV4Z,B0H8462L4S,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,9a771620b9dfd366663b6a69fdda6672b5dbd19d986767f298ce12a1fae3a458,89717cecc483c84aaecde5e1024b3e30bcbfe96213bba3b693804bd51dff94b6
58,JU-ASYC-SSJD,B0H854C7SZ,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,5204587de2d5df2d664050ea208096e9423a2db83afeb68deae036db232a2a2f,b0a480cf242f917d8f60aca59280857e9552611ffa357b156fb03793ab968ce3
59,JY-ASPW-LB4K,B0H84621N6,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,703a3e3cad563fedcdc629235dd6ffbadf7d597a64b3c3ed6ccd1370cd335b1f,f5f28cbbc97fddbcae03ffdae422b855c0e21fb1f501ab0b78e15b985d86de6b
60,KD-AS12-8HZ3,B0H845JBM6,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,f026cbb68e1d19381576e26dcf8a403359e0a0da26998a762242a68507d7ae75,1e7ae61b08c0f25729cfb43c993c337d0667b673d71b6eead89cb0b9055de752
